ID_Venta,Fecha_venta,ID_producto,ID_Zona,Venta,ID_Vendedor,ID_Cliente,Nombre_cliente,Direccion_cliente,Pais_cliente,Telefono_cliente,Clasificacion_credito,Producto,Zona_venta,Apellido_Vendedor,Nombre_vendedor,Edad_vendedor,Estado_civil_vendedor,Salario_vendedor,Telefono_vendedor,Fecha_de_venta,Anio_de_venta,Dia_de_venta,Mes_de_venta,Nombre_dia,Nombre_mes,Trimestre
15,01/01/2016 0:00,5,2,820336,5,1,Mart B & C,Av Reforma 232,Chile,56-335555,AA,Isla,Oeste,CUEVAS,DAVID,41,Casado,27574,52-3519737,01/01/2016,2016,1,1,Viernes,Enero,1
16,02/01/2016 0:00,4,2,937960,17,4,Agora e Tudo MM,Ipanema 875,Brazil,55-1276337,BB,Nave,Oeste,GONZALEZ,LAURA,25,Soltero,26488,52-7180322,02/01/2016,2016,2,1,S bado,Enero,1
17,02/01/2016 0:00,7,3,358846,16,3,Tierra y Paz,Torres del rio 3778,Mexico,52-587766,A,Remates,Centro,SAENZ,MARIA DOLORES,55,Casado,29563,52-6736893,02/01/2016,2016,2,1,S bado,Enero,1
18,03/01/2016 0:00,4,4,1679605,6,3,Tierra y Paz,Torres del rio 3778,Mexico,52-587766,A,Nave,Sur,FERRERO,JUAN,30,Soltero,31639,52-4517685,03/01/2016,2016,3,1,Domingo,Enero,1
19,04/01/2016 0:00,6,2,472615,39,3,Tierra y Paz,Torres del rio 3778,Mexico,52-587766,A,Consultorio,Oeste,MUNOZ,LORENA,26,Casado,41778,52-9453091,04/01/2016,2016,4,1,Lunes,Enero,1
20,05/01/2016 0:00,3,4,1169496,19,3,Tierra y Paz,Torres del rio 3778,Mexico,52-587766,A,Local,Sur,GOMEZ,ANA,45,Casado,41839,52-5074633,05/01/2016,2016,5,1,Martes,Enero,1
21,06/01/2016 0:00,5,4,2020992,38,10,Bienestar Land,Independencia 548,Paraguay,595-334783,C,Isla,Sur,PALACIOS,DANIELA,43,Soltero,42704,52-4612412,06/01/2016,2016,6,1,Mi rcoles,Enero,1
22,06/01/2016 0:00,3,1,727552,14,10,Bienestar Land,Independencia 548,Paraguay,595-334783,C,Local,Norte,JIMENEZ,ALEJANDRO,38,Soltero,40973,52-7854595,06/01/2016,2016,6,1,Mi rcoles,Enero,1
23,07/01/2016 0:00,4,2,1438929,4,8,Too & A,Heroes Militares 2390,Cost Rica,506-632893,C,Nave,Oeste,CARRASCO,FRANCISCO,52,Soltero,23299,52-9555367,07/01/2016,2016,7,1,Jueves,Enero,1
24,07/01/2016 0:00,3,3,427390,45,2,Bienes de Occidente,Cali 854,Colombia,57-899666,AA,Local,Centro,ORTEGA,VICTOR,39,Soltero,27905,52-8199111,07/01/2016,2016,7,1,Jueves,Enero,1
25,07/01/2016 0:00,3,4,1170684,4,8,Too & A,Heroes Militares 2390,Cost Rica,506-632893,C,Local,Sur,CARRASCO,FRANCISCO,52,Soltero,23299,52-9555367,07/01/2016,2016,7,1,Jueves,Enero,1
26,07/01/2016 0:00,2,3,549780,12,4,Agora e Tudo MM,Ipanema 875,Brazil,55-1276337,BB,Oficina,Centro,FERNANDEZ,CARLOS,33,Soltero,23888,52-7116464,07/01/2016,2016,7,1,Jueves,Enero,1
27,08/01/2016 0:00,2,3,659330,38,4,Agora e Tudo MM,Ipanema 875,Brazil,55-1276337,BB,Oficina,Centro,PALACIOS,DANIELA,43,Soltero,42704,52-4612412,08/01/2016,2016,8,1,Viernes,Enero,1
28,09/01/2016 0:00,4,4,1660560,41,8,Too & A,Heroes Militares 2390,Cost Rica,506-632893,C,Nave,Sur,BENITO,MARIA ELENA,59,Casado,39036,52-7174212,09/01/2016,2016,9,1,S bado,Enero,1
29,09/01/2016 0:00,4,3,753571,43,1,Mart B & C,Av Reforma 232,Chile,56-335555,AA,Nave,Centro,OCHOA,JOAQUIN,49,Casado,44189,52-7913645,09/01/2016,2016,9,1,S bado,Enero,1
30,09/01/2016 0:00,2,3,939072,31,5,Honduland,Avenida Gobernador 874,Honduras,,B,Oficina,Centro,CALVO,JUAN JOSE,56,Soltero,35510,52-6487633,09/01/2016,2016,9,1,S bado,Enero,1
31,10/01/2016 0:00,5,4,1405374,46,6,Pacifico Norte & CO,Constitucion 2322,Salvador,503-663333,B,Isla,Sur,HERCE,EDUARDO,51,Soltero,16612,52-6554714,10/01/2016,2016,10,1,Domingo,Enero,1
32,10/01/2016 0:00,7,2,627348,1,5,Honduland,Avenida Gobernador 874,Honduras,,B,Remates,Oeste,SANCHEZ,ANTONIO,25,Soltero,40693,52-3519683,10/01/2016,2016,10,1,Domingo,Enero,1
33,12/01/2016 0:00,2,4,1504110,29,1,Mart B & C,Av Reforma 232,Chile,56-335555,AA,Oficina,Sur,RUBIO,ALVARO,44,Soltero,21216,52-6616580,12/01/2016,2016,12,1,Martes,Enero,1
34,12/01/2016 0:00,4,4,2483197,29,3,Tierra y Paz,Torres del rio 3778,Mexico,52-587766,A,Nave,Sur,RUBIO,ALVARO,44,Soltero,21216,52-6616580,12/01/2016,2016,12,1,Martes,Enero,1
35,12/01/2016 0:00,5,3,1799771,13,9,JKP Asesores,Flores 323,Argentina,54-7713300,C,Isla,Centro,PEREZ,JESUS,53,Soltero,19252,52-6594876,12/01/2016,2016,12,1,Martes,Enero,1
36,13/01/2016 0:00,5,3,1054340,6,2,Bienes de Occidente,Cali 854,Colombia,57-899666,AA,Isla,Centro,FERRERO,JUAN,30,Soltero,31639,52-4517685,13/01/2016,2016,13,1,Mi rcoles,Enero,1
37,13/01/2016 0:00,2,2,1160572,43,6,Pacifico Norte & CO,Constitucion 2322,Salvador,503-663333,B,Oficina,Oeste,OCHOA,JOAQUIN,49,Casado,44189,52-7913645,13/01/2016,2016,13,1,Mi rcoles,Enero,1
38,14/01/2016 0:00,4,3,1492800,30,1,Mart B & C,Av Reforma 232,Chile,56-335555,AA,Nave,Centro,SANCHEZ,ADRIAN,37,Casado,33019,52-9113674,14/01/2016,2016,14,1,Jueves,Enero,1
39,15/01/2016 0:00,1,3,1154980,7,5,Honduland,Avenida Gobernador 874,Honduras,,B,Terreno,Centro,MADERO,JOSE ANTONIO,29,Soltero,17938,52-6564888,15/01/2016,2016,15,1,Viernes,Enero,1
40,15/01/2016 0:00,3,2,1057784,9,2,Bienes de Occidente,Cali 854,Colombia,57-899666,AA,Local,Oeste,HERNANDEZ,DANIEL,37,Casado,33192,52-5565477,15/01/2016,2016,15,1,Viernes,Enero,1
41,15/01/2016 0:00,6,4,1421860,36,3,Tierra y Paz,Torres del rio 3778,Mexico,52-587766,A,Consultorio,Sur,GUTIERREZ,MIRIAM,27,Soltero,38620,52-4159394,15/01/2016,2016,15,1,Viernes,Enero,1
42,16/01/2016 0:00,3,3,1426992,44,4,Agora e Tudo MM,Ipanema 875,Brazil,55-1276337,BB,Local,Centro,DIAZ,SANTIAGO,55,Casado,31119,52-4165349,16/01/2016,2016,16,1,S bado,Enero,1
43,16/01/2016 0:00,3,2,579716,31,5,Honduland,Avenida Gobernador 874,Honduras,,B,Local,Oeste,CALVO,JUAN JOSE,56,Soltero,35510,52-6487633,16/01/2016,2016,16,1,S bado,Enero,1
44,16/01/2016 0:00,4,2,1537062,32,8,Too & A,Heroes Militares 2390,Cost Rica,506-632893,C,Nave,Oeste,SAEZ,DIEGO,50,Casado,16786,52-4355342,16/01/2016,2016,16,1,S bado,Enero,1
45,17/01/2016 0:00,3,4,2851058,22,5,Honduland,Avenida Gobernador 874,Honduras,,B,Local,Sur,ALONSO,MARIA ANGELES,30,Soltero,31385,52-6002934,17/01/2016,2016,17,1,Domingo,Enero,1
46,17/01/2016 0:00,3,1,1294048,22,1,Mart B & C,Av Reforma 232,Chile,56-335555,AA,Local,Norte,ALONSO,MARIA ANGELES,30,Soltero,31385,52-6002934,17/01/2016,2016,17,1,Domingo,Enero,1
47,17/01/2016 0:00,6,4,249418,13,10,Bienestar Land,Independencia 548,Paraguay,595-334783,C,Consultorio,Sur,PEREZ,JESUS,53,Soltero,19252,52-6594876,17/01/2016,2016,17,1,Domingo,Enero,1
48,17/01/2016 0:00,5,4,1457488,35,3,Tierra y Paz,Torres del rio 3778,Mexico,52-587766,A,Isla,Sur,GARRIDO,INES,36,Casado,34816,52-5023604,17/01/2016,2016,17,1,Domingo,Enero,1
49,17/01/2016 0:00,2,2,321680,46,2,Bienes de Occidente,Cali 854,Colombia,57-899666,AA,Oficina,Oeste,HERCE,EDUARDO,51,Soltero,16612,52-6554714,17/01/2016,2016,17,1,Domingo,Enero,1
50,17/01/2016 0:00,2,3,957625,31,2,Bienes de Occidente,Cali 854,Colombia,57-899666,AA,Oficina,Centro,CALVO,JUAN JOSE,56,Soltero,35510,52-6487633,17/01/2016,2016,17,1,Domingo,Enero,1
51,17/01/2016 0:00,5,1,568620,27,2,Bienes de Occidente,Cali 854,Colombia,57-899666,AA,Isla,Norte,MARIN,ANTONIA,43,Soltero,31272,52-7486806,17/01/2016,2016,17,1,Domingo,Enero,1
52,19/01/2016 0:00,2,1,1605564,33,10,Bienestar Land,Independencia 548,Paraguay,595-334783,C,Oficina,Norte,IBANEZ,MARIA VICTORIA,38,Soltero,27934,52-4389266,19/01/2016,2016,19,1,Martes,Enero,1
53,19/01/2016 0:00,4,3,1438748,45,4,Agora e Tudo MM,Ipanema 875,Brazil,55-1276337,BB,Nave,Centro,ORTEGA,VICTOR,39,Soltero,27905,52-8199111,19/01/2016,2016,19,1,Martes,Enero,1
54,19/01/2016 0:00,4,4,686996,42,3,Tierra y Paz,Torres del rio 3778,Mexico,52-587766,A,Nave,Sur,RAMIREZ,JUAN MANUEL,29,Soltero,44484,52-8754064,19/01/2016,2016,19,1,Martes,Enero,1
55,19/01/2016 0:00,2,2,983234,39,8,Too & A,Heroes Militares 2390,Cost Rica,506-632893,C,Oficina,Oeste,MUNOZ,LORENA,26,Casado,41778,52-9453091,19/01/2016,2016,19,1,Martes,Enero,1
56,20/01/2016 0:00,6,1,239220,11,2,Bienes de Occidente,Cali 854,Colombia,57-899666,AA,Consultorio,Norte,GARCIA,FRANCISCO JAVIER,47,Casado,34525,52-6934824,20/01/2016,2016,20,1,Mi rcoles,Enero,1
57,20/01/2016 0:00,3,1,512730,15,1,Mart B & C,Av Reforma 232,Chile,56-335555,AA,Local,Norte,RUIZ,MIGUEL,26,Casado,33489,52-4680206,20/01/2016,2016,20,1,Mi rcoles,Enero,1
58,21/01/2016 0:00,2,2,2287626,29,2,Bienes de Occidente,Cali 854,Colombia,57-899666,AA,Oficina,Oeste,RUBIO,ALVARO,44,Soltero,21216,52-6616580,21/01/2016,2016,21,1,Jueves,Enero,1
59,21/01/2016 0:00,5,3,1373816,3,4,Agora e Tudo MM,Ipanema 875,Brazil,55-1276337,BB,Isla,Centro,MARTINEZ,JOSE,45,Casado,43797,52-3499058,21/01/2016,2016,21,1,Jueves,Enero,1
60,21/01/2016 0:00,3,1,1920240,2,9,JKP Asesores,Flores 323,Argentina,54-7713300,C,Local,Norte,ADELA,MANUEL,34,Casado,28245,52-6505990,21/01/2016,2016,21,1,Jueves,Enero,1
61,21/01/2016 0:00,4,3,1140840,40,7,The LandLord,Calle Aviacion 65,Uruguay,598-675552,CC,Nave,Centro,SANTAMARIA,ANA BELEN,60,Casado,30063,52-8331445,21/01/2016,2016,21,1,Jueves,Enero,1
62,21/01/2016 0:00,5,3,1142938,22,8,Too & A,Heroes Militares 2390,Cost Rica,506-632893,C,Isla,Centro,ALONSO,MARIA ANGELES,30,Soltero,31385,52-6002934,21/01/2016,2016,21,1,Jueves,Enero,1
63,22/01/2016 0:00,6,4,738144,30,3,Tierra y Paz,Torres del rio 3778,Mexico,52-587766,A,Consultorio,Sur,SANCHEZ,ADRIAN,37,Casado,33019,52-9113674,22/01/2016,2016,22,1,Viernes,Enero,1
64,23/01/2016 0:00,5,1,509010,40,9,JKP Asesores,Flores 323,Argentina,54-7713300,C,Isla,Norte,SANTAMARIA,ANA BELEN,60,Casado,30063,52-8331445,23/01/2016,2016,23,1,S bado,Enero,1
65,23/01/2016 0:00,3,3,1436832,38,5,Honduland,Avenida Gobernador 874,Honduras,,B,Local,Centro,PALACIOS,DANIELA,43,Soltero,42704,52-4612412,23/01/2016,2016,23,1,S bado,Enero,1
66,24/01/2016 0:00,4,1,2119424,38,10,Bienestar Land,Independencia 548,Paraguay,595-334783,C,Nave,Norte,PALACIOS,DANIELA,43,Soltero,42704,52-4612412,24/01/2016,2016,24,1,Domingo,Enero,1
67,24/01/2016 0:00,5,4,948927,11,2,Bienes de Occidente,Cali 854,Colombia,57-899666,AA,Isla,Sur,GARCIA,FRANCISCO JAVIER,47,Casado,34525,52-6934824,24/01/2016,2016,24,1,Domingo,Enero,1
68,24/01/2016 0:00,2,4,376992,13,9,JKP Asesores,Flores 323,Argentina,54-7713300,C,Oficina,Sur,PEREZ,JESUS,53,Soltero,19252,52-6594876,24/01/2016,2016,24,1,Domingo,Enero,1
69,24/01/2016 0:00,2,2,2212408,32,5,Honduland,Avenida Gobernador 874,Honduras,,B,Oficina,Oeste,SAEZ,DIEGO,50,Casado,16786,52-4355342,24/01/2016,2016,24,1,Domingo,Enero,1
70,25/01/2016 0:00,4,3,1647695,39,9,JKP Asesores,Flores 323,Argentina,54-7713300,C,Nave,Centro,MUNOZ,LORENA,26,Casado,41778,52-9453091,25/01/2016,2016,25,1,Lunes,Enero,1
71,25/01/2016 0:00,4,2,1939925,15,6,Pacifico Norte & CO,Constitucion 2322,Salvador,503-663333,B,Nave,Oeste,RUIZ,MIGUEL,26,Casado,33489,52-4680206,25/01/2016,2016,25,1,Lunes,Enero,1
72,25/01/2016 0:00,4,3,1478952,14,3,Tierra y Paz,Torres del rio 3778,Mexico,52-587766,A,Nave,Centro,JIMENEZ,ALEJANDRO,38,Soltero,40973,52-7854595,25/01/2016,2016,25,1,Lunes,Enero,1
73,25/01/2016 0:00,1,4,320044,3,10,Bienestar Land,Independencia 548,Paraguay,595-334783,C,Terreno,Sur,MARTINEZ,JOSE,45,Casado,43797,52-3499058,25/01/2016,2016,25,1,Lunes,Enero,1
74,26/01/2016 0:00,5,2,1098055,47,3,Tierra y Paz,Torres del rio 3778,Mexico,52-587766,A,Isla,Oeste,LEON,MARIO,31,Casado,38368,52-7467787,26/01/2016,2016,26,1,Martes,Enero,1
75,26/01/2016 0:00,4,3,187862,25,5,Honduland,Avenida Gobernador 874,Honduras,,B,Nave,Centro,GIL,MARIA ISABEL,37,Soltero,44213,52-7343501,26/01/2016,2016,26,1,Martes,Enero,1
76,26/01/2016 0:00,4,3,1757106,26,6,Pacifico Norte & CO,Constitucion 2322,Salvador,503-663333,B,Nave,Centro,DIAZ,MARIA JOSE,33,Soltero,30210,52-8700147,26/01/2016,2016,26,1,Martes,Enero,1
77,27/01/2016 0:00,5,3,1104992,3,6,Pacifico Norte & CO,Constitucion 2322,Salvador,503-663333,B,Isla,Centro,MARTINEZ,JOSE,45,Casado,43797,52-3499058,27/01/2016,2016,27,1,Mi rcoles,Enero,1
78,28/01/2016 0:00,6,1,448485,16,1,Mart B & C,Av Reforma 232,Chile,56-335555,AA,Consultorio,Norte,SAENZ,MARIA DOLORES,55,Casado,29563,52-6736893,28/01/2016,2016,28,1,Jueves,Enero,1
79,28/01/2016 0:00,1,4,2520484,25,1,Mart B & C,Av Reforma 232,Chile,56-335555,AA,Terreno,Sur,GIL,MARIA ISABEL,37,Soltero,44213,52-7343501,28/01/2016,2016,28,1,Jueves,Enero,1
80,28/01/2016 0:00,1,4,1339107,23,3,Tierra y Paz,Torres del rio 3778,Mexico,52-587766,A,Terreno,Sur,PASCUAL,FRANCISCA,29,Casado,26106,52-9055637,28/01/2016,2016,28,1,Jueves,Enero,1
81,29/01/2016 0:00,5,4,1812244,14,6,Pacifico Norte & CO,Constitucion 2322,Salvador,503-663333,B,Isla,Sur,JIMENEZ,ALEJANDRO,38,Soltero,40973,52-7854595,29/01/2016,2016,29,1,Viernes,Enero,1
82,30/01/2016 0:00,1,2,1069731,15,10,Bienestar Land,Independencia 548,Paraguay,595-334783,C,Terreno,Oeste,RUIZ,MIGUEL,26,Casado,33489,52-4680206,30/01/2016,2016,30,1,S bado,Enero,1
83,30/01/2016 0:00,4,1,471072,34,8,Too & A,Heroes Militares 2390,Cost Rica,506-632893,C,Nave,Norte,BLANCO,EVA MARIA,56,Soltero,35991,52-8364603,30/01/2016,2016,30,1,S bado,Enero,1
84,30/01/2016 0:00,6,4,470940,41,10,Bienestar Land,Independencia 548,Paraguay,595-334783,C,Consultorio,Sur,BENITO,MARIA ELENA,59,Casado,39036,52-7174212,30/01/2016,2016,30,1,S bado,Enero,1
85,30/01/2016 0:00,2,4,925322,19,10,Bienestar Land,Independencia 548,Paraguay,595-334783,C,Oficina,Sur,GOMEZ,ANA,45,Casado,41839,52-5074633,30/01/2016,2016,30,1,S bado,Enero,1
86,31/01/2016 0:00,6,2,2141700,36,1,Mart B & C,Av Reforma 232,Chile,56-335555,AA,Consultorio,Oeste,GUTIERREZ,MIRIAM,27,Soltero,38620,52-4159394,31/01/2016,2016,31,1,Domingo,Enero,1
87,31/01/2016 0:00,5,4,778875,32,10,Bienestar Land,Independencia 548,Paraguay,595-334783,C,Isla,Sur,SAEZ,DIEGO,50,Casado,16786,52-4355342,31/01/2016,2016,31,1,Domingo,Enero,1
88,31/01/2016 0:00,1,3,421196,24,1,Mart B & C,Av Reforma 232,Chile,56-335555,AA,Terreno,Centro,GUTIERREZ,LUCIA,38,Soltero,40709,52-7974272,31/01/2016,2016,31,1,Domingo,Enero,1
89,01/02/2016 0:00,2,4,219716,30,1,Mart B & C,Av Reforma 232,Chile,56-335555,AA,Oficina,Sur,SANCHEZ,ADRIAN,37,Casado,33019,52-9113674,01/02/2016,2016,1,2,Lunes,Febrero,1
90,01/02/2016 0:00,4,2,2685816,1,4,Agora e Tudo MM,Ipanema 875,Brazil,55-1276337,BB,Nave,Oeste,SANCHEZ,ANTONIO,25,Soltero,40693,52-3519683,01/02/2016,2016,1,2,Lunes,Febrero,1
91,01/02/2016 0:00,5,4,723609,24,7,The LandLord,Calle Aviacion 65,Uruguay,598-675552,CC,Isla,Sur,GUTIERREZ,LUCIA,38,Soltero,40709,52-7974272,01/02/2016,2016,1,2,Lunes,Febrero,1
92,02/02/2016 0:00,6,4,388032,8,9,JKP Asesores,Flores 323,Argentina,54-7713300,C,Consultorio,Sur,LEON,JAVIER,38,Soltero,36118,52-8874444,02/02/2016,2016,2,2,Martes,Febrero,1
93,02/02/2016 0:00,5,3,922020,11,10,Bienestar Land,Independencia 548,Paraguay,595-334783,C,Isla,Centro,GARCIA,FRANCISCO JAVIER,47,Casado,34525,52-6934824,02/02/2016,2016,2,2,Martes,Febrero,1
94,03/02/2016 0:00,5,4,965358,18,7,The LandLord,Calle Aviacion 65,Uruguay,598-675552,CC,Isla,Sur,LOPEZ,MARIA TERESA,34,Casado,43909,52-5697896,03/02/2016,2016,3,2,Mi rcoles,Febrero,1
95,03/02/2016 0:00,2,4,663816,22,5,Honduland,Avenida Gobernador 874,Honduras,,B,Oficina,Sur,ALONSO,MARIA ANGELES,30,Soltero,31385,52-6002934,03/02/2016,2016,3,2,Mi rcoles,Febrero,1
96,04/02/2016 0:00,5,3,728931,8,6,Pacifico Norte & CO,Constitucion 2322,Salvador,503-663333,B,Isla,Centro,LEON,JAVIER,38,Soltero,36118,52-8874444,04/02/2016,2016,4,2,Jueves,Febrero,1
97,04/02/2016 0:00,4,3,625536,25,5,Honduland,Avenida Gobernador 874,Honduras,,B,Nave,Centro,GIL,MARIA ISABEL,37,Soltero,44213,52-7343501,04/02/2016,2016,4,2,Jueves,Febrero,1
98,04/02/2016 0:00,7,1,1467782,47,5,Honduland,Avenida Gobernador 874,Honduras,,B,Remates,Norte,LEON,MARIO,31,Casado,38368,52-7467787,04/02/2016,2016,4,2,Jueves,Febrero,1
99,04/02/2016 0:00,5,2,2067236,11,6,Pacifico Norte & CO,Constitucion 2322,Salvador,503-663333,B,Isla,Oeste,GARCIA,FRANCISCO JAVIER,47,Casado,34525,52-6934824,04/02/2016,2016,4,2,Jueves,Febrero,1
100,05/02/2016 0:00,2,3,531375,45,3,Tierra y Paz,Torres del rio 3778,Mexico,52-587766,A,Oficina,Centro,ORTEGA,VICTOR,39,Soltero,27905,52-8199111,05/02/2016,2016,5,2,Viernes,Febrero,1
101,05/02/2016 0:00,4,2,710694,37,8,Too & A,Heroes Militares 2390,Cost Rica,506-632893,C,Nave,Oeste,ALVAREZ,MARIA ROSA,25,Soltero,43099,52-5591171,05/02/2016,2016,5,2,Viernes,Febrero,1
102,05/02/2016 0:00,2,4,438435,16,8,Too & A,Heroes Militares 2390,Cost Rica,506-632893,C,Oficina,Sur,SAENZ,MARIA DOLORES,55,Casado,29563,52-6736893,05/02/2016,2016,5,2,Viernes,Febrero,1
103,05/02/2016 0:00,4,2,1188090,9,4,Agora e Tudo MM,Ipanema 875,Brazil,55-1276337,BB,Nave,Oeste,HERNANDEZ,DANIEL,37,Casado,33192,52-5565477,05/02/2016,2016,5,2,Viernes,Febrero,1
104,06/02/2016 0:00,3,3,699400,16,2,Bienes de Occidente,Cali 854,Colombia,57-899666,AA,Local,Centro,SAENZ,MARIA DOLORES,55,Casado,29563,52-6736893,06/02/2016,2016,6,2,S bado,Febrero,1
105,07/02/2016 0:00,6,2,1854496,40,6,Pacifico Norte & CO,Constitucion 2322,Salvador,503-663333,B,Consultorio,Oeste,SANTAMARIA,ANA BELEN,60,Casado,30063,52-8331445,07/02/2016,2016,7,2,Domingo,Febrero,1
106,07/02/2016 0:00,6,1,2105700,15,5,Honduland,Avenida Gobernador 874,Honduras,,B,Consultorio,Norte,RUIZ,MIGUEL,26,Casado,33489,52-4680206,07/02/2016,2016,7,2,Domingo,Febrero,1
107,07/02/2016 0:00,4,2,1791318,44,9,JKP Asesores,Flores 323,Argentina,54-7713300,C,Nave,Oeste,DIAZ,SANTIAGO,55,Casado,31119,52-4165349,07/02/2016,2016,7,2,Domingo,Febrero,1
108,09/02/2016 0:00,4,3,1782297,20,6,Pacifico Norte & CO,Constitucion 2322,Salvador,503-663333,B,Nave,Centro,RODRIGUEZ,CRISTINA,52,Soltero,24468,52-5686768,09/02/2016,2016,9,2,Martes,Febrero,1
109,09/02/2016 0:00,4,4,1528200,45,1,Mart B & C,Av Reforma 232,Chile,56-335555,AA,Nave,Sur,ORTEGA,VICTOR,39,Soltero,27905,52-8199111,09/02/2016,2016,9,2,Martes,Febrero,1
110,09/02/2016 0:00,1,4,1587642,5,8,Too & A,Heroes Militares 2390,Cost Rica,506-632893,C,Terreno,Sur,CUEVAS,DAVID,41,Casado,27574,52-3519737,09/02/2016,2016,9,2,Martes,Febrero,1
111,10/02/2016 0:00,4,3,954666,12,1,Mart B & C,Av Reforma 232,Chile,56-335555,AA,Nave,Centro,FERNANDEZ,CARLOS,33,Soltero,23888,52-7116464,10/02/2016,2016,10,2,Mi rcoles,Febrero,1
112,10/02/2016 0:00,2,1,1064800,2,7,The LandLord,Calle Aviacion 65,Uruguay,598-675552,CC,Oficina,Norte,ADELA,MANUEL,34,Casado,28245,52-6505990,10/02/2016,2016,10,2,Mi rcoles,Febrero,1
113,10/02/2016 0:00,4,4,887241,30,7,The LandLord,Calle Aviacion 65,Uruguay,598-675552,CC,Nave,Sur,SANCHEZ,ADRIAN,37,Casado,33019,52-9113674,10/02/2016,2016,10,2,Mi rcoles,Febrero,1
114,11/02/2016 0:00,4,2,806799,33,5,Honduland,Avenida Gobernador 874,Honduras,,B,Nave,Oeste,IBANEZ,MARIA VICTORIA,38,Soltero,27934,52-4389266,11/02/2016,2016,11,2,Jueves,Febrero,1
115,11/02/2016 0:00,5,3,438750,23,9,JKP Asesores,Flores 323,Argentina,54-7713300,C,Isla,Centro,PASCUAL,FRANCISCA,29,Casado,26106,52-9055637,11/02/2016,2016,11,2,Jueves,Febrero,1
